브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량),입고수량,최초입고일,최종입고일
I,전년(25N),7ABKR015N,Bag,백팩,7ABKR015NK0001,109000,600,65400000,49452.543705764925,CQ240900219,KRW,(주)케이앤씨인터내셔날,2024-09-11,5262.976619684229,1000.7561551025346,7339.545641521989,290.21928497973505,6004.536930615208,0.037807755126731596,2941.2223398463493,1176.8892384005808,5259.0,1000.0,7334.0,290.0,6000.0,50.0,2939.0,1176.0,7735667.612364648,600453.6930615208,3602722.158369125,1764733.4039078096,706133.5430403484,7759800.0,600000.0,3600000.0,1763400.0,705600.0,600,2024-09-30,2024-09-30
I,전년(25N),7ACP8805N,Headwear,운동모,7ACP8805NK0001,39000,2250,87750000,66352.61024741395,CQ241000258,KRW,㈜유풍,2024-10-11,1576.1909442864921,1511.1417942048272,1076.8136228903272,368.2782650777327,2001.5123102050693,0.037807755126731596,924.698687314742,369.2790212328353,1575.0,1510.0,1076.0,368.0,2000.0,50.0,924.0,369.0,6797971.4400217775,3400069.036960861,4503402.697961406,2080572.0464581696,830877.7977738794,6905250.0,3397500.0,4500000.0,2079000.0,830250.0,2250,2024-11-18,2024-11-18
I,전년(25N),7ACPC015N,Headwear,운동모,7ACPC015NC0002,49000,333,16317000,12338.182808057589,CQ241000260,KRW,㈜유풍,2024-10-11,1120.8468937148389,1480.1183533966487,1051.7947190127638,348.26314197568206,2101.587925715323,0.037807755126731596,863.6525618534874,537.4060552900611,1120.0,1479.0,1051.0,348.0,2100.0,50.0,863.0,537.0,839473.8732986511,492879.411681084,699828.7792632025,287596.3030972113,178956.21641159034,855477.0,492507.0,699300.0,287379.0,178821.0,333,2024-11-02,2024-11-02
I,전년(25N),7ACPC025N,Headwear,운동모,7ACPC025NC0001,43000,2681,115283000,87171.82868549998,CQ241000983,KRW,주식회사 다다씨앤씨,2024-10-17,1472.1123041558285,1000.7561551025346,1184.895287641401,0.0,2001.5123102050693,0.037807755126731596,848.6412195269494,993.7508620168169,1471.0,1000.0,1184.0,0.0,2000.0,50.0,848.0,993.0,7123538.7161998665,2683027.251829895,5366054.50365979,2275207.109551751,2664246.061067086,7252105.0,2681000.0,5362000.0,2273488.0,2662233.0,2681,2024-11-19,2024-11-19
I,전년(25N),7ACPR015N,Headwear,운동모,7ACPR015NC0001,43000,782,33626000,25426.47147782953,CQ241000256,KRW,㈜유풍,2024-10-11,1796.3572984090497,2593.9599540257695,862.6518056983848,378.2858266287581,2101.587925715323,0.037807755126731596,1102.8332829229932,411.31077974714174,1795.0,2592.0,862.0,378.0,2100.0,50.0,1102.0,411.0,2375194.201500212,2028476.684048152,1643441.7579093825,862415.6272457807,321645.0297622648,2412470.0,2026944.0,1642200.0,861764.0,321402.0,782,2024-11-12,2024-11-12
I,전년(25N),7ACPR015N,Headwear,운동모,7ACPR015NK0001,43000,1050,45150000,34140.40287943863,CQ241000255,KRW,㈜유풍,2024-10-11,1796.3572984090497,2593.9599540257695,862.6518056983848,378.2858266287581,2101.587925715323,0.037807755126731596,1102.8332829229932,411.31077974714174,1795.0,2592.0,862.0,378.0,2100.0,50.0,1102.0,411.0,3189199.3754158854,2723657.9517270583,2206667.322001089,1157974.9470691427,431876.3187344988,3239250.0,2721600.0,2205000.0,1157100.0,431550.0,1050,2024-11-08,2024-11-08
I,전년(25N),7ACPV015N,Headwear,운동모,7ACPV015NC0001,39000,2015,78585000,59422.448732684046,CQ241000998,KRW,㈜유풍,2024-10-18,1301.9837577883975,1020.7712782045853,1076.8136228903272,348.26314197568206,2001.5123102050693,0.037807755126731596,810.6124856330531,178.13459560825117,1301.0,1020.0,1076.0,348.0,2000.0,50.0,810.0,178.0,5495103.13577521,2056854.1255822394,4033047.3050632146,1633384.158550602,358941.2101506261,5591625.0,2055300.0,4030000.0,1632150.0,358670.0,2015,2024-11-19,2024-11-19
I,전년(25N),7ACPV015N,Headwear,운동모,7ACPV015NK0001,39000,3830,149370000,112946.88766559797,CQ241000997,KRW,㈜유풍,2024-10-18,1301.9837577883975,1020.7712782045853,1076.8136228903272,348.26314197568206,2001.5123102050693,0.037807755126731596,810.6124856330531,178.13459560825117,1301.0,1020.0,1076.0,348.0,2000.0,50.0,810.0,178.0,10444786.605468513,3909553.9955235617,7665792.148085415,3104645.8199745934,682255.501179602,10628250.0,3906600.0,7660000.0,3102300.0,681740.0,2906,2024-11-08,2024-11-08
I,전년(25N),7ACPV035N,Headwear,운동모,7ACPV035NK0001,39000,2380,92820000,70186.31661726453,CQ241001027,KRW,㈜유풍,2024-10-18,1886.4253523682778,1173.886969935273,1076.8136228903272,409.30926743693664,2101.587925715323,0.037807755126731596,935.7070050208699,252.19055108583873,1885.0,1173.0,1076.0,409.0,2100.0,50.0,935.0,252.0,8026754.800072591,2793850.98844595,5001779.263202468,2226982.67194967,600213.5115842961,8139600.0,2791740.0,4998000.0,2225300.0,599760.0,2380,2024-11-18,2024-11-18
I,전년(25N),7ACPV045N,Headwear,운동모,7ACPV045NK0001,39000,950,37050000,28015.54654890811,CQ241000999,KRW,㈜유풍,2024-10-18,1516.14557498034,1460.103230294598,964.7289335188434,337.25482426955415,2101.587925715323,0.037807755126731596,906.6850765228963,473.3576613634989,1515.0,1459.0,964.0,337.0,2100.0,50.0,906.0,473.0,2677258.783497671,1387098.068779868,1996508.5294295566,861350.8226967516,449689.77829532395,2722700.0,1386050.0,1995000.0,860700.0,449350.0,950,2024-11-08,2024-11-18
