브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량),입고수량,최초입고일,최종입고일
I,전년(26N),7ABGB016N,Bag,가방,7ABGB016NK0001,33000,1500,49500000,34212.72713449403,CQ250800628,KRW,(주)리라이코리아,2025-08-28,360.2488198337054,700.4838163433161,1540.0637047890907,232.16035055949905,3932.7162831846176,0.03455831023686266,979.6766517144378,261.18039437943645,360.0,700.0,1539.0,232.0,3930.0,50.0,979.0,261.0,3198761.150238798,1050725.724514974,5899074.424776926,1469514.9775716567,391770.59156915464,3271500.0,1050000.0,5895000.0,1468500.0,391500.0,1500,2025-11-06,2025-11-06
I,전년(26N),7ABKB016N,Bag,백팩,7ABKB016NK0001,209000,7300,1525700000,1054512.2785676273,CQ250800629,KRW,(주)리라이코리아,2025-08-28,6257.321862278222,5123.5387709682545,9998.906132717735,402.2778488143044,14457.985969326044,0.03455831023686266,5375.712944851848,1614.1148510882413,6253.0,5120.0,9992.0,402.0,14448.0,50.0,5372.0,1613.0,121607344.93547964,37401833.02806826,105543297.57608011,39242704.49741849,11783038.41294416,121888100.0,37376000.0,105470400.0,39215600.0,11774900.0,7300,2025-10-29,2025-11-20
I,전년(26N),7ABKB056N,Bag,백팩,7ABKB056NK0001,139000,2500,347500000,240180.2561461955,CQ250800508,KRW,(주)에스씨인터내셔널,2025-08-26,5450.764782317204,2351.6242405811327,9172.335229432621,386.26679015502856,9806.773428806426,0.03455831023686266,4016.7743411458155,1339.9254715481432,5447.0,2350.0,9166.0,386.0,9800.0,50.0,4014.0,1339.0,37523503.40053773,5879060.601452831,24516933.572016064,10041935.85286454,3349813.678870358,37622500.0,5875000.0,24500000.0,10035000.0,3347500.0,2500,2025-10-28,2025-11-06
I,전년(26N),7ABKB066N,Bag,백팩,7ABKB066NK0001,159000,5000,795000000,549477.1327661163,CQ250800606,KRW,(주)케이앤씨인터내셔날,2025-08-27,9077.269568643173,3920.7079891901603,9242.383611066953,408.2819958115328,8505.874912740266,0.03455831023686266,4612.185585037634,956.6607548917289,9071.0,3918.0,9236.0,408.0,8500.0,50.0,4609.0,956.0,93639848.66915947,19603539.945950802,42529374.56370133,23060927.92518817,4783303.774458644,93825000.0,19590000.0,42500000.0,23045000.0,4780000.0,5000,2025-10-30,2025-11-05
I,전년(26N),7ABKB096N,Bag,백팩,7ABKB096NK0001,129000,3500,451500000,312061.54143886984,CQ250800510,KRW,(주)에스씨인터내셔널,2025-08-26,5651.903706724356,1100.7602828252109,8399.801649122564,386.26679015502856,7805.39109639695,0.03455831023686266,3443.3783029105007,1230.8501344318267,5648.0,1100.0,8394.0,386.0,7800.0,50.0,3441.0,1230.0,50533023.46509265,3852660.9898882383,27318868.837389328,12051824.060186753,4307975.470511394,50673000.0,3850000.0,27300000.0,12043500.0,4305000.0,3500,2025-10-28,2025-11-06
I,전년(26N),7ABKM036N,Bag,백팩,7ABKM036NK0001,99000,1800,178200000,123165.81768417852,CQ250800624,KRW,(주)리라이코리아,2025-08-28,1287.889530905497,3112.149526896733,6067.190540699322,232.16035055949905,7699.317832779248,0.03455831023686266,2724.8820455754994,391.27024598605226,1287.0,3110.0,6063.0,232.0,7694.0,50.0,2723.0,391.0,13657094.964854198,5601869.148414119,13858772.099002646,4904787.682035899,704286.4427748941,13737600.0,5598000.0,13849200.0,4901400.0,703800.0,1800,2025-11-14,2025-11-14
I,전년(26N),7ABKM046N,Bag,백팩,7ABKM046NK0001,99000,1000,99000000,68425.45426898806,CQ250800512,KRW,(주)에스씨인터내셔널,2025-08-26,4197.899442228872,1300.8985160661584,8522.886662565747,386.26679015502856,4553.144806231555,0.03455831023686266,2785.9242067139885,1072.7409301714783,4195.0,1300.0,8517.0,386.0,4550.0,50.0,2784.0,1072.0,13107087.453259885,1300898.5160661584,4553144.806231555,2785924.2067139884,1072740.9301714783,13148000.0,1300000.0,4550000.0,2784000.0,1072000.0,1000,2025-11-20,2025-11-20
I,전년(26N),7ACP77A6N,Headwear,운동모,7ACP77A6NK0001,36000,2390,86040000,59467.94025559327,CQ250800653,KRW,주식회사 이든메이드,2025-08-28,1000.6911662047372,900.6220495842636,1483.0243083154205,317.2190996869017,2291.5827706088485,0.03455831023686266,851.5881824402314,156.107821927939,1000.0,900.0,1482.0,317.0,2290.0,50.0,851.0,156.0,6694316.226716339,2152486.6985063897,5476882.821755148,2035295.756032153,373097.69440777425,6809110.0,2151000.0,5473100.0,2033890.0,372840.0,2390,2025-11-06,2025-11-06
I,전년(26N),7ACPB066N,Headwear,운동모,7ACPB066NC0001,39000,962,37518000,25931.173669332267,CQ250800700,KRW,주식회사 피앤지아이엔씨,2025-08-29,1254.8667224207404,595.4112438918187,830.573667949932,331.228776013768,3522.432905040675,0.03455831023686266,930.6427845704056,318.2197908531065,1254.0,595.0,830.0,331.0,3520.0,50.0,930.0,318.0,2324868.9831562797,572785.6166239296,3388580.4546491294,895278.3587567302,306127.4388006884,2371330.0,572390.0,3386240.0,894660.0,305916.0,961,2025-11-06,2025-11-13
I,전년(26N),7ACPB066N,Headwear,운동모,7ACPB066NK0001,39000,5080,198120000,136933.8484825446,CQ250800702,KRW,주식회사 피앤지아이엔씨,2025-08-29,1254.8667224207404,595.4112438918187,830.573667949932,331.228776013768,3522.432905040675,0.03455831023686266,930.6427845704056,318.2197908531065,1254.0,595.0,830.0,331.0,3520.0,50.0,930.0,318.0,12276854.92144896,3024689.118970439,17893959.15760663,4727665.34561766,1616556.5375337808,12522200.0,3022600.0,17881600.0,4724400.0,1615440.0,5016,2025-11-06,2025-11-20
