브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량),입고수량,최초입고일,최종입고일
M,전년(26N),3ABMME16N,Bag,버킷백,3ABMME16NK0001,159000,2000,318000000,224990.9791352705,CQ250900887,USD,(주)제이에스코퍼레이션,2025-09-24,1.6782861627960663,3.2811610262092743,5.066408113640211,0.26701756005971344,5.20337965741724,0.038475152746356406,2.665558582267572,0.20622681872047033,2181.0,4264.0,6584.0,347.0,6762.0,50.0,3464.0,268.0,14100.373978484695,6562.322052418548,10406.75931483448,5331.117164535143,412.45363744094067,18324000.0,8528000.0,13524000.0,6928000.0,536000.0,2000,2025-11-28,2025-11-28
M,전년(26N),3ABQM016N,Bag,숄더백,3ABQM016NC0001,139000,6720,934080000,660879.162863753,CQ250900889,USD,(주)제이에스코퍼레이션,2025-09-24,1.7413854133000908,4.00295489173092,3.42967511581021,0.26701756005971344,4.884805392677409,0.038475152746356406,2.488572879634332,0.1746771934684581,2263.0,5202.0,4457.0,347.0,6348.0,50.0,3234.0,227.0,36802.43778567801,26899.856872431785,32825.89223879219,16723.209751142713,1173.8307401080383,47826240.0,34957440.0,42658560.0,21732480.0,1525440.0,6720,2025-11-22,2025-11-22
M,전년(26N),3ABQM016N,Bag,숄더백,3ABQM016NC0002,139000,200,27800000,19669.022704278366,CQ250901020,USD,(주)제이에스코퍼레이션,2025-09-30,1.7413854133000908,4.00295489173092,3.42967511581021,0.26701756005971344,4.884805392677409,0.038475152746356406,2.488572879634332,0.1746771934684581,2263.0,5202.0,4457.0,347.0,6348.0,50.0,3234.0,227.0,1095.3106483832742,800.5909783461841,976.9610785354818,497.7145759268664,34.935438693691616,1423400.0,1040400.0,1269600.0,646800.0,45400.0,200,2025-11-22,2025-11-22
M,전년(26N),3ABQM016N,Bag,숄더백,3ABQM016NK0001,139000,6000,834000000,590070.6811283509,CQ250900890,USD,(주)제이에스코퍼레이션,2025-09-24,1.7413854133000908,4.00295489173092,3.42967511581021,0.26701756005971344,4.884805392677409,0.038475152746356406,2.488572879634332,0.1746771934684581,2263.0,5202.0,4457.0,347.0,6348.0,50.0,3234.0,227.0,32859.319451498224,24017.72935038552,29308.832356064453,14931.437277805993,1048.0631608107485,42702000.0,31212000.0,38088000.0,19404000.0,1362000.0,6000,2025-11-28,2025-11-28
M,전년(26N),3ABQS016N,Bag,숄더백,3ABQS016NE0001,89000,250,22250000,15742.293351445813,CQ250900962,USD,(주)풍국산업,2025-09-29,1.369715437770288,1.1257829693583883,1.182726195422996,0.16852116902904105,4.857872785754959,0.038475152746356406,1.5366976006894748,0.0630992505040245,1780.0,1463.0,1537.0,219.0,6313.0,50.0,1997.0,82.0,689.8594887421704,281.4457423395971,1214.4681964387398,384.1744001723687,15.774812626006126,896500.0,365750.0,1578250.0,499250.0,20500.0,250,2025-11-14,2025-11-14
M,전년(26N),3ABQS016N,Bag,숄더백,3ABQS016NE0002,89000,200,17800000,12593.834681156652,CQ250900963,USD,(주)풍국산업,2025-09-29,1.7398464071902366,1.1257829693583883,1.182726195422996,0.16852116902904105,4.920972036258984,0.038475152746356406,1.6144174092371146,0.07002477799836866,2261.0,1463.0,1537.0,219.0,6395.0,50.0,2098.0,91.0,625.913784877726,225.15659387167767,984.1944072517969,322.88348184742296,14.004955599673732,813400.0,292600.0,1279000.0,419600.0,18200.0,200,2025-11-14,2025-11-14
M,전년(26N),3ABQS016N,Bag,숄더백,3ABQS016NG0001,89000,640,56960000,40300.27097970128,CQ250900964,USD,(주)풍국산업,2025-09-29,1.369715437770288,1.1257829693583883,1.182726195422996,0.16852116902904105,4.857872785754959,0.038475152746356406,1.5366976006894748,0.0630992505040245,1780.0,1463.0,1537.0,219.0,6313.0,50.0,1997.0,82.0,1766.040291179956,720.5011003893686,3109.038582883174,983.4864644412638,40.383520322575684,2295040.0,936320.0,4040320.0,1278080.0,52480.0,640,2025-11-03,2025-11-03
M,전년(26N),3ABQS016N,Bag,숄더백,3ABQS016NG0002,89000,470,41830000,29595.51150071813,CQ250900965,USD,(주)풍국산업,2025-09-29,1.7398464071902366,1.1257829693583883,1.182726195422996,0.16852116902904105,4.920972036258984,0.038475152746356406,1.6144174092371146,0.07002477799836866,2261.0,1463.0,1537.0,219.0,6395.0,50.0,2098.0,91.0,1470.8973944626562,529.1179955984426,2312.8568570417224,758.7761823414439,32.911645659233265,1911490.0,687610.0,3005650.0,986060.0,42770.0,470,2025-11-03,2025-11-03
M,전년(26N),3ABQS016N,Bag,숄더백,3ABQS016NK0001,89000,1300,115700000,81859.92542751823,CQ250900966,USD,(주)풍국산업,2025-09-29,1.369715437770288,1.1257829693583883,1.182726195422996,0.16852116902904105,4.857872785754959,0.038475152746356406,1.5366976006894748,0.0630992505040245,1780.0,1463.0,1537.0,219.0,6313.0,50.0,1997.0,82.0,3587.269341459286,1463.517860165905,6315.234621481448,1997.7068808963172,82.02902565523185,4661800.0,1901900.0,8206900.0,2596100.0,106600.0,1300,2025-11-03,2025-11-03
M,전년(26N),3ABQS016N,Bag,숄더백,3ABQS016NK0002,89000,250,22250000,15742.293351445813,CQ250900967,USD,(주)풍국산업,2025-09-29,1.369715437770288,1.1257829693583883,1.182726195422996,0.16852116902904105,4.857872785754959,0.038475152746356406,1.5366976006894748,0.0630992505040245,1780.0,1463.0,1537.0,219.0,6313.0,50.0,1997.0,82.0,689.8594887421704,281.4457423395971,1214.4681964387398,384.1744001723687,15.774812626006126,896500.0,365750.0,1578250.0,499250.0,20500.0,250,2025-11-03,2025-11-03
