브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
I,24F,7ADJMD646,Outer,다운점퍼,7ADJMD646K0001,279000,1660,463140000,350205.6742,CQ240501228,KRW,(주)엠에스에이,2024-05-20,16.56130906,0.617022564,14.92801403,0.263898131,11.50036295,1.131964188,4.360746476,1.894924687,21902,816,19742,349,15209,1497,5767,2506,54589.40778,1024.257456,19090.6025,7238.839151,3145.57498,72193400,1354560,25246940,9573220,4159960
I,24F,7ADJMT146,Outer,다운점퍼,7ADJMT146C0001,269000,2611,702359000,531092.3417,CQ240501227,KRW,(주)엠에스에이,2024-05-20,11.32795959,0.231383461,19.71220737,0.263898131,11.39979433,1.149355756,4.266983244,1.996249471,14981,306,26069,349,15076,1520,5643,2640,84735.88183,604.1422177,29764.86298,11141.09325,5212.207368,112061509,798966,39363436,14733873,6893040
I,24F,7ADJMT146,Outer,다운점퍼,7ADJMT146K0001,269000,1890,508410000,384436.8157,CQ240501226,KRW,(주)엠에스에이,2024-05-20,11.32795959,0.231383461,14.99909261,0.263898131,11.39979433,1.131964188,3.795898615,1.760329079,14981,306,19836,349,15076,1497,5020,2328,52396.30845,437.314742,21545.61128,7174.248382,3327.021959,69293070,578340,28493640,9487800,4399920
I,24F,7ADJR0146,Outer,다운점퍼,7ADJR0146C0001,169000,135,22815000,17251.67866,CQ240501148,KRW,주)무브 플러스,2024-05-20,11.85575585,0,4.921813562,0.262385821,10.49996975,0.090738612,2.727451455,1.353517634,15679,0,6509,347,13886,120,3607,1790,2312.643669,0,1417.495917,368.2059464,182.7248805,3058425,0,1874610,486945,241650
I,24F,7ADJR0146,Outer,다운점퍼,7ADJR0146K0001,169000,3500,591500000,447265.7431,CQ240501150,KRW,주)무브 플러스,2024-05-20,11.44213901,0.848406025,4.046185954,0.262385821,10.49996975,0.073347045,2.683594459,1.28924445,15132,1122,5351,347,13886,97,3549,1705,55384.20241,2969.421088,36749.89414,9392.580606,4512.355574,73244500,3927000,48601000,12421500,5967500
I,24F,7ADJR0246,Outer,다운점퍼,7ADJR0246K0001,279000,4400,1227600000,928256.0039,CQ240501158,KRW,주)무브 플러스,2024-05-20,23.7553687,0.848406025,4.927862803,0.262385821,12.00018148,0.073347045,4.153559978,1.869971569,31416,1122,6517,347,15870,97,5493,2473,127683.4432,3732.98651,52800.7985,18275.6639,8227.874902,168858800,4936800,69828000,24169200,10881200
I,24F,7ADJR0446,Outer,다운점퍼,7ADJR0446C0001,239000,728,173992000,131564.9386,CQ240501278,KRW,(주)알피티트레이딩,2024-05-21,11.58732079,1.73537596,13.62818341,0.282045853,9.600145182,0.090738612,3.655253766,1.478283225,15324,2295,18023,373,12696,120,4834,1955,18628.27415,1263.353699,6988.905692,2661.024741,1076.190188,24635520,1670760,9242688,3519152,1423240
I,24F,7ADJR0446,Outer,다운점퍼,7ADJR0446K0001,239000,2100,501900000,379514.246,CQ240501280,KRW,(주)알피티트레이딩,2024-05-21,11.58732079,1.73537596,13.43536386,0.282045853,9.600145182,0.073347045,3.635593733,1.600024197,15324,2295,17768,373,12696,97,4808,2116,53293.96286,3644.289517,20160.30488,7634.746839,3360.050814,70480200,4819500,26661600,10096800,4443600
I,24F,7ADJR0446,Outer,다운점퍼,7ADJR0446K0002,239000,2500,597500000,451802.6738,CQ241002061,KRW,(주)엠에스에이,2024-10-31,11.39979433,1.388300768,13.87847075,0.263898131,10.00015123,0.073347045,3.666596092,1.819309177,15076,1836,18354,349,13225,97,4849,2406,64038.77563,3470.751921,25000.37808,9166.49023,4548.272942,84690000,4590000,33062500,12122500,6015000
I,24F,7ADJR0546,Outer,다운점퍼,7ADJR0546C0001,259000,1500,388500000,293766.2573,CQ240501156,KRW,주)무브 플러스,2024-05-20,27.43481943,0.848406025,4.655646966,0.262385821,12.00018148,0.090738612,4.493829774,2.040106467,36282,1122,6157,347,15870,120,5943,2698,48665.38624,1272.609038,18000.27222,6740.744662,3060.1597,64359000,1683000,23805000,8914500,4047000
I,24F,7ADJRM146,Outer,다운점퍼,7ADJRM146C0001,369000,1972,727668000,550229.8712,CQ240501294,KRW,티피나디아(주),2024-05-21,18.12276934,0.584507894,26.36712843,0.264654286,11.4996068,0.733470449,5.657552477,2.589831226,23967,773,34870,350,15208,970,7482,3425,89702.38038,1152.649567,22677.22461,11156.69348,5107.147178,118629604,1524356,29990176,14754504,6754100
I,24F,7ADJV0146,Outer,다운점퍼,7ADJV0146C0001,199000,633,125967000,95250.5898,CQ240500439,KRW,(주)알피티트레이딩,2024-05-12,9.206188373,3.856391023,10.83797108,0.301705886,8.99975803,0.090738612,3.290030851,1.39888694,12175,5100,14333,399,11902,120,4351,1850,12936.3703,2441.095518,5696.846833,2082.589529,885.4954328,17108091,3228300,7533966,2754183,1171050
I,24F,7ADJV0146,Outer,다운점퍼,7ADJV0146K0001,199000,2550,507450000,383710.9068,CQ240500440,KRW,(주)알피티트레이딩,2024-05-12,9.206188373,3.856391023,10.20506926,0.301705886,8.99975803,0.073347045,3.226513823,1.369396891,12175,5100,13496,399,11902,97,4267,1811,50455.09195,9833.797108,22949.38298,8227.610247,3491.962071,66725850,13005000,30350100,10880850,4618050
