중분류,아이템명,제조업체,24F_정상마진율(%),25F_정상마진율(%),정상마진율_차이(%p)
Inner,니트풀오버,"DONGGUAN TONGFA KNITWEARS CO., LTD.",14.548513085488716,15.00006659317974,0.4515535076910222
Inner,데님셔츠,"HONGKONG KING TIDE FASHION CO.,LIMITED",15.000114397863372,15.000053162171186,-6.12356921863011e-05
Inner,데님셔츠,"Hongying garment CO., LTD",14.999935014088464,14.500068343167266,-0.4998666709211985
Inner,데님셔츠,주식회사 에이엠지엠브이,14.998811377173,14.99977937125862,0.0009679940856219
Inner,데님원피스,"HONGKONG KING TIDE FASHION CO.,LIMITED",15.000097317918174,0.0,0.0
Inner,데님원피스,주식회사 에이엠지엠브이,15.00006583230273,0.0,0.0
Inner,맨투맨,(주)팬코,11.176911517001562,8.3395973939777,-2.8373141230238623
Inner,맨투맨,ESQUEL ENTERPRISES LIMITED,4.5541980717755575,5.923789763606747,1.3695916918311897
Inner,맨투맨,㈜노브랜드,15.000012320953132,11.99994259273922,-3.000069728213912
Inner,맨투맨,주식회사 에이스코리아,0.0,14.999804679870303,0.0
Inner,맨투맨,한솔섬유 (주),0.0,7.462490585953645,0.0
Inner,반팔카라티셔츠,(주) 약진통상,15.000675574262374,14.653874245826774,-0.3468013284355997
Inner,반팔카라티셔츠,(주)팬코,6.472655726868868,13.124900493995383,6.652244767126516
Inner,반팔카라티셔츠,ESQUEL ENTERPRISES LIMITED,4.4599403062969945,5.601017299042283,1.1410769927452886
Inner,반팔카라티셔츠,㈜노브랜드,14.99998711886317,12.30440029828712,-2.6955868205760503
Inner,반팔카라티셔츠,한솔섬유 (주),12.006587684568355,11.999737996986966,-0.0068496875813899
Inner,우븐셔츠,(주)기도산업,14.999894418987688,0.0,0.0
Inner,우븐셔츠,㈜노브랜드,15.00017120063002,15.000088309375675,-8.289125434401967e-05
Inner,우븐셔츠,티피나디아(주),14.999981203502164,0.0,0.0
Inner,원피스,(주) 약진통상,14.99978915112242,0.0,0.0
Inner,원피스,ESQUEL ENTERPRISES LIMITED,0.5999927052558631,0.0,0.0
Inner,원피스,㈜노브랜드,0.0,11.99984063956654,0.0
Inner,트레이닝(상의),(주) 약진통상,14.999804761881778,15.000115385502966,0.0003106236211873
Inner,트레이닝(상의),(주)팬코,6.290468431362164,10.697058475492211,4.406590044130048
Inner,트레이닝(상의),ESQUEL ENTERPRISES LIMITED,2.166759879207804,4.561015729992191,2.394255850784387
Inner,트레이닝(상의),㈜노브랜드,15.000057707528422,11.99997098197816,-3.000086725550263
Inner,트레이닝(상의),주식회사 에이스코리아,14.999962100252413,0.0,0.0
Inner,트레이닝(상의),한솔섬유 (주),0.0,4.129419776279129,0.0
Inner,후드티,(주) 약진통상,14.999879941893685,0.0,0.0
Inner,후드티,(주)팬코,7.708392897273621,12.176403227366322,4.468010330092701
Inner,후드티,ESQUEL ENTERPRISES LIMITED,4.333343101658645,5.449851299278699,1.1165081976200542
Inner,후드티,㈜노브랜드,15.000067032510724,11.322056084284345,-3.67801094822638
Inner,후드티,한솔섬유 (주),0.0,4.499924881054315,0.0
Inner,[소계],,11.087072300874658,11.650189373869168,0.5631170729945101
Outer,니트가디건,(주)다인지아이씨,7.999939844422639,15.000016979697143,7.000077135274506
Outer,니트가디건,"DONGGUAN OUTIN TRADE Co., LTD",3.745495568148301,13.636450866305838,9.890955298157538
Outer,니트가디건,"DONGGUAN TONGFA KNITWEARS CO., LTD.",15.000088494671862,13.53412097957836,-1.465967515093503
Outer,다운베스트,(주)기도산업,13.000083524313098,12.454423257736057,-0.5456602665770411
Outer,다운베스트,(주)포마트코퍼레이션,13.000066477378557,12.999873226937869,-0.0001932504406898
Outer,다운베스트,"ITOCHU TEXTILE(CHINA)CO.,LTD.",12.999995520255164,12.999834354811991,-0.0001611654431705
Outer,다운베스트,원전교역,0.0,12.999956764038451,0.0
Outer,다운베스트,주)무브 플러스,0.0,12.999937410026916,0.0
Outer,다운베스트,티피나디아(주),13.000075527410978,13.00009883918864,2.33117776620162e-05
Outer,다운점퍼,(주)기도산업,12.999988533178117,12.039158771080944,-0.9608297620971716
Outer,다운점퍼,(주)포마트코퍼레이션,13.0000078376094,13.133424155556046,0.1334163179466454
Outer,다운점퍼,"ITOCHU TEXTILE(CHINA)CO.,LTD.",13.31579379714212,12.875031058726757,-0.4407627384153638
Outer,다운점퍼,원전교역,0.0,13.000007069470364,0.0
Outer,다운점퍼,주)무브 플러스,0.0,13.000120148984742,0.0
Outer,다운점퍼,티피나디아(주),13.000019366330127,12.999985959869337,-3.34064607923068e-05
