중분류,아이템명,24F_정상마진율(%),25F_정상마진율(%),정상마진율_차이(%p)
Acc_etc,머플러(스카프),14.999501762806537,15.000280893324105,0.0007791305175679
Acc_etc,방한모,15.000311084536463,14.999816922686843,-0.0004941618496197
Acc_etc,방한화,8.439970069590398,8.652284268841505,0.2123141992511072
Acc_etc,비니,14.450188672853416,14.999244257546184,0.5490555846927663
Acc_etc,쇼퍼백,15.00033901625018,0.0,0.0
Acc_etc,스니커즈,7.500065715111846,0.0,0.0
Acc_etc,신발,7.50031053971803,0.0,0.0
Acc_etc,양말,14.990439767051129,14.997324918145292,0.0068851510941634
Acc_etc,여성 베레모,15.000289978649288,15.000638557953694,0.000348579304406
Acc_etc,운동모,15.000573455529798,15.000574184657784,7.291279846555199e-07
Acc_etc,장갑,0.0,15.000127055116511,0.0
Acc_etc,크로스백,14.999872189228109,0.0,0.0
Acc_etc,햇,15.000094452636146,15.000413737197812,0.0003192845616659
Acc_etc,[소계],14.110171155456648,14.206322217544152,0.0961510620875056
Acc_etc,[소계],14.110171155456648,14.206322217544153,0.09615106208750568
Bottom,레깅스,14.999912525525623,15.000535045478866,0.0006225199532412
Bottom,반바지,7.964292216431209,12.656507091490782,4.692214875059573
Bottom,스커트,12.257964851955236,15.001270036658516,2.743305184703281
Bottom,우븐반바지,0.0,13.909192599234778,0.0
Bottom,우븐팬츠,14.60378828649026,14.001092297134251,-0.6026959893560075
Bottom,진바지,14.99980778518108,14.78723288212831,-0.2125749030527703
Bottom,진스커트,14.996484813843546,15.00014225392911,0.0036574400855631
Bottom,팬츠,12.236571682969789,10.27320167719038,-1.9633700057794083
Bottom,[소계],13.15126030891382,13.817140183430032,0.6658798745162109
Bottom,[소계],13.15126030891382,13.81714018343003,0.6658798745162109
Inner,TOP,0.0,12.00082907282023,0.0
Inner,니트풀오버,13.325097641253754,15.000056766664212,1.6749591254104583
Inner,데님셔츠,14.999889919312508,14.757586500063972,-0.242303419248536
Inner,데님원피스,15.000078426548908,0.0,0.0
Inner,맨투맨,12.009303953543036,9.335510677441288,-2.673793276101748
Inner,반팔카라티셔츠,9.228839580160733,8.668591578501848,-0.5602480016588842
Inner,우븐셔츠,15.000020845737629,15.000088309375675,6.746363804843725e-05
Inner,원피스,9.239870572775796,11.99984063956654,2.7599700667907445
Inner,트레이닝(상의),12.484092491540196,8.41530758268854,-4.068784908851658
Inner,후드티,11.3416212624428,10.485540785356784,-0.8560804770860155
Inner,[소계],12.203592033345808,11.707815354957358,-0.4957766783884487
Inner,[소계],12.203592033345807,11.707815354957358,-0.49577667838844874
Outer,니트가디건,7.938134091451315,13.859461001145036,5.921326909693721
Outer,다운베스트,13.000067164920196,12.79991086670092,-0.2001562982192748
Outer,다운점퍼,13.03637298661176,12.705874635231208,-0.3304983513805535
Outer,방수자켓,15.000102583040972,14.998306096439576,-0.0017964866013961
Outer,방풍자켓,14.999564173169194,14.695683147569952,-0.3038810255992406
Outer,점퍼,14.999999527503652,14.999990093821596,-9.433682055970394e-06
Outer,진자켓,15.000501536153152,15.044662825581083,0.0441612894279312
Outer,패딩,15.000028867560951,14.99991475868183,-0.0001141088791225
Outer,폴라폴리스점퍼,14.999942312702595,14.466571711055924,-0.5333706016466735
Outer,[소계],13.774968138123754,14.285597237358568,0.5106290992348139
Outer,[소계],13.774968138123754,14.285597237358568,0.5106290992348139
