브랜드,기간,시즌,환율
M,전년,25S,1299.27
I,전년,25S,1302.77
X,전년,25S,1350.0
M,당년,25S,1358.28
I,당년,25S,1373.09
X,당년,25S,1350.0
M,전년,25F,1299.54
I,전년,25F,1322.48
X,전년,25F,1350.0
M,당년,25F,1413.38
I,당년,25F,1446.83
X,당년,25F,1400.0
M,전년,26S,1358.28
I,전년,26S,1373.09
X,전년,26S,1350.0
M,당년,26S,1387.72
I,당년,26S,1378.86
X,당년,26S,1380.0
M,전년,26F,1413.38
I,전년,26F,1446.83
X,전년,26F,1400.0
M,당년,26F,0.0
I,당년,26F,0.0
X,당년,26F,0.0
